Time [s]; Voltage [V]; Current [A]
1723053224022760000; 4.74684111328125; 0.0
1723053224022770000; 4.748333984375; 0.0
1723053224022780000; 4.74971416015625; 0.0
1723053224022790000; 4.7510000976562505; 0.0
1723053224022800000; 4.752195800781251; 0.0
1723053224022810000; 4.75330380859375; 0.0
1723053224022820000; 4.75433564453125; 0.0
1723053224022830000; 4.7552975585937505; 0.0
1723053224022840000; 4.75619130859375; 0.0
1723053224022850000; 4.757026171875; 0.0
1723053224022860000; 4.75780166015625; 0.0
1723053224022870000; 4.75852236328125; 0.0
1723053224022880000; 4.75918701171875; 0.0
1723053224022890000; 4.7598052734375; 0.0
1723053224022900000; 4.760380078124999; 0.0
1723053224022910000; 4.7608841796875; 0.0
1723053224022920000; 4.761090234375001; 0.0
1723053224022930000; 4.7605316406250004; 0.0
1723053224022940000; 4.759295703125; 0.0
1723053224022950000; 4.75733974609375; 2.3732503255208337e-06
1723053224022960000; 4.748217578125; 0.00015215962727864586
1723053224022970000; 4.73449384765625; 0.0002575398763020835
1723053224022980000; 4.72626083984375; 0.0003408172607421875
1723053224022990000; 4.720215625; 0.0004090799967447917
1723053224023000000; 4.71495087890625; 0.0005950439453125
1723053224023010000; 4.709883203125; 0.0005956766764322916
1723053224023020000; 4.7048575195312505; 0.0006024912516276042
1723053224023030000; 4.69987236328125; 0.0006124104817708334
1723053224023040000; 4.69487666015625; 0.0006254130045572917
1723053224023050000; 4.68991923828125; 0.0006385965983072917
1723053224023060000; 4.6849107421875; 0.0006553792317708333
1723053224023070000; 4.6798919921875; 0.0006707366943359376
1723053224023080000; 4.67491220703125; 0.0006857625325520834
1723053224023090000; 4.669891796875; 0.0007025919596354167
1723053224023100000; 4.66487626953125; 0.0007185201009114584
1723053224023110000; 4.6598438476562505; 0.0007359242757161459
1723053224023120000; 4.65481416015625; 0.0007519663492838542
1723053224023130000; 4.6498107421875; 0.0007681986490885417
1723053224023140000; 4.6448015625; 0.0007850535074869793
1723053224023150000; 4.63982548828125; 0.0008004638671875
1723053224023160000; 4.63483232421875; 0.0008168131510416667
1723053224023170000; 4.6298149414062495; 0.0008325408935546876
1723053224023180000; 4.624826855468751; 0.000847772216796875
1723053224023190000; 4.6197933593750005; 0.0008634480794270833
1723053224023200000; 4.6148478515625; 0.0008769409179687502
1723053224023210000; 4.60985400390625; 0.0008928599039713541
1723053224023220000; 4.6048318359375005; 0.0009083669026692709
1723053224023230000; 4.59985703125; 0.0009223520914713542
1723053224023240000; 4.59483193359375; 0.0009375427246093751
1723053224023250000; 4.58985263671875; 0.0009512278238932293
1723053224023260000; 4.5848177734375; 0.0009666188557942709
1723053224023270000; 4.5797780273437505; 0.0009809611002604168
1723053224023280000; 4.57480947265625; 0.0009946156819661458
1723053224023290000; 4.5697650390625; 0.0010107198079427084
1723053224023300000; 4.5647876953125; 0.0010241221110026044
1723053224023310000; 4.55978017578125; 0.001038335164388021
1723053224023320000; 4.5547807617187495; 0.0010520009358723958
1723053224023330000; 4.5497904296875005; 0.0010652130126953127
1723053224023340000; 4.54477763671875; 0.0010789560953776043
1723053224023350000; 4.5397947265625; 0.001091582234700521
1723053224023360000; 4.53482099609375; 0.0011043955485026042
1723053224023370000; 4.52979541015625; 0.0011184702555338542
1723053224023380000; 4.52479931640625; 0.0011309804280598959
1723053224023390000; 4.5198050781250005; 0.0011435302734375
1723053224023400000; 4.5148232421875; 0.0011558013916015625
1723053224023410000; 4.5098125; 0.0011685557047526043
1723053224023420000; 4.50478173828125; 0.0011815989176432293
1723053224023430000; 4.4997650390625; 0.001194122314453125
1723053224023440000; 4.49474794921875; 0.001207207234700521
1723053224023450000; 4.48976103515625; 0.0012196624755859376
1723053224023460000; 4.48476611328125; 0.0012320994059244793
1723053224023470000; 4.47976142578125; 0.001244145711263021
1723053224023480000; 4.47477763671875; 0.0012557790120442708
1723053224023490000; 4.46976171875; 0.0012674133300781252
1723053224023500000; 4.46478564453125; 0.0012787027994791667
1723053224023510000; 4.45979609375; 0.0012902933756510418
1723053224023520000; 4.454815234375; 0.0013014017740885417
1723053224023530000; 4.4498279296875; 0.001312908935546875
1723053224023540000; 4.444797265625; 0.001324382527669271
1723053224023550000; 4.43980712890625; 0.00133516845703125
1723053224023560000; 4.434790234375; 0.0013464192708333334
1723053224023570000; 4.4297609375; 0.0013575174967447917
1723053224023580000; 4.42474638671875; 0.001368686930338542
1723053224023590000; 4.4197280273437505; 0.0013798838297526042
1723053224023600000; 4.414748828125; 0.0013909393310546875
1723053224023610000; 4.40973642578125; 0.0014021199544270834
1723053224023620000; 4.4047283203125; 0.0014125376383463542
1723053224023630000; 4.39974716796875; 0.0014226969401041666
1723053224023640000; 4.39472900390625; 0.0014329935709635417
1723053224023650000; 4.3897404296875; 0.0014429840087890624
1723053224023660000; 4.38473193359375; 0.0014533681233723959
1723053224023670000; 4.379775097656251; 0.0014624603271484377
1723053224023680000; 4.374783984375; 0.0014730255126953126
1723053224023690000; 4.369761328125; 0.001482903035481771
1723053224023700000; 4.364780664062501; 0.0014919881184895832
1723053224023710000; 4.35976953125; 0.0015019897460937502
1723053224023720000; 4.35475537109375; 0.0015115519205729166
1723053224023730000; 4.34972724609375; 0.0015216135660807292
1723053224023740000; 4.34469287109375; 0.00153154296875
1723053224023750000; 4.3397069335937495; 0.0015410736083984375
1723053224023760000; 4.3346994140625; 0.0015509053548177084
1723053224023770000; 4.329698242187501; 0.0015600474039713544
1723053224023780000; 4.3247177734375; 0.0015688924153645833
1723053224023790000; 4.319702539062501; 0.0015781504313151042
