Time [s]; Voltage [V]; Current [A]
1723053322020890000; 4.77945; 0.0
1723053322020900000; 4.77945; 0.0
1723053322020910000; 4.77945; 0.0
1723053322020920000; 4.77945; 0.0
1723053322020930000; 4.77945; 0.0
1723053322020940000; 4.77945; 0.0
1723053322020950000; 4.77945; 0.0
1723053322020960000; 4.77945; 0.0
1723053322020970000; 4.77945; 0.0
1723053322020980000; 4.77945; 0.0
1723053322020990000; 4.77945; 0.0
1723053322021000000; 4.77945; 0.0
1723053322021010000; 4.77945; 0.0
1723053322021020000; 4.77945; 0.0
1723053322021030000; 4.77945; 0.0
1723053322021040000; 4.77945; 0.0
1723053322021050000; 4.77945; 6.688944498698691e-06
1723053322021060000; 4.77945; 2.251892089843636e-05
1723053322021070000; 4.77945; 3.834889729817545e-05
1723053322021080000; 4.77945; 5.41788736979198e-05
1723053322021090000; 4.77945; 7.000885009765867e-05
1723053322021100000; 4.77945; 8.583882649738704e-05
1723053322021110000; 4.77945; 0.0001016688028971318
1723053322021120000; 4.77945; 0.00011749877929689721
1723053322021130000; 4.77945; 0.0001333287556966142
1723053322021140000; 4.77945; 0.0001491587320963005
1723053322021150000; 4.77945; 0.00016498870849611082
1723053322021160000; 4.77945; 0.0001808186848959589
1723053322021170000; 4.77945; 0.00019664866129548208
1723053322021180000; 4.77945; 0.00021247863769504574
1723053322021190000; 4.77945; 0.00022830861409535203
1723053322021200000; 4.77945; 0.00024413859049535113
1723053322021210000; 4.77945; 0.0002599685668935749
1723053322021220000; 4.77945; 0.00027579854329330043
1723053322021230000; 4.77945; 0.00029162851969657716
1723053322021240000; 4.77945; 0.00030745849609534756
1723053322021250000; 4.77945; 0.0003232884724864699
1723053322021260000; 4.77945; 0.00033911844889220256
1723053322021270000; 4.77945; 0.0003549484253096841
1723053322021280000; 4.77945; 0.00037077840169042907
1723053322021290000; 4.77945; 0.0003866083780509592
1723053322021300000; 4.77945; 0.00040243835451513315
1723053322021310000; 4.77945; 0.0004182683309796104
1723053322021320000; 4.77945; 0.00043409830721340896
1723053322021330000; 4.77945; 0.00044992828349307964
1723053322021340000; 4.77945; 0.00046575826037182873
1723053322021350000; 4.77945; 0.00048158823683751935
1723053322021360000; 4.77945; 0.0004974182121486035
1723053322021370000; 4.77934873046875; 0.0005132481886117625
1723053322021380000; 4.77858408203125; 0.0005290781678868252
1723053322021390000; 4.77711767578125; 0.0005449081427002819
1723053322021400000; 4.77126953125; 0.0005607381133929402
1723053322021410000; 4.756056835937501; 0.0005765680944643987
1723053322021420000; 4.7467416992187506; 0.000592398084987076
1723053322021430000; 4.74038779296875; 0.0006082280419541087
1723053322021440000; 4.734976171875; 0.0006240579961635734
1723053322021450000; 4.72985830078125; 0.0006398880187502327
1723053322021460000; 4.72485234375; 0.0006557180470777854
1723053322021470000; 4.71983720703125; 0.0006715478698222398
1723053322021480000; 4.7148711914062496; 0.0006873778130014321
1723053322021490000; 4.7098624023437505; 0.00070320810909687
1723053322021500000; 4.70485712890625; 0.0007190381603879958
1723053322021510000; 4.69987451171875; 0.000734867160800058
1723053322021520000; 4.694879296875; 0.0007506975857182012
1723053322021530000; 4.68991123046875; 0.0007665292934786212
1723053322021540000; 4.68489755859375; 0.0007823583655524993
1723053322021550000; 4.6798865234375; 0.0007981831624483065
1723053322021560000; 4.674902050781251; 0.0008140192853907741
1723053322021570000; 4.66987783203125; 0.0008298561245203015
1723053322021580000; 4.6648662109375; 0.0008456746538480121
1723053322021590000; 4.6598359375000005; 0.0008614823500315347
1723053322021600000; 4.65480546875; 0.0008773637771606445
1723053322021610000; 4.64980107421875; 0.0008932034810384114
1723053322021620000; 4.6447955078125; 0.0009089487711588541
1723053322021630000; 4.6398060546875; 0.0009247131347656251
1723053322021640000; 4.634812890625001; 0.0009408894856770835
1723053322021650000; 4.629794921875; 0.0009565622965494792
1723053322021660000; 4.624807421875; 0.0009719299316406251
1723053322021670000; 4.6197908203125; 0.0009877705891927083
1723053322021680000; 4.61483837890625; 0.00100145263671875
1723053322021690000; 4.609847753906251; 0.0010176920572916668
1723053322021700000; 4.6048232421875; 0.001033441162109375
1723053322021710000; 4.5998509765625; 0.001047917683919271
1723053322021720000; 4.594825683593751; 0.0010633026123046875
1723053322021730000; 4.5898486328125; 0.0010774536132812501
1723053322021740000; 4.5848140625000005; 0.0010930725097656252
1723053322021750000; 4.57978173828125; 0.0011075388590494793
1723053322021760000; 4.5748021484375; 0.0011208577473958334
1723053322021770000; 4.569773828125; 0.0011365214029947918
1723053322021780000; 4.564788476562501; 0.0011498209635416668
1723053322021790000; 4.55978193359375; 0.00116383056640625
1723053322021800000; 4.55477529296875; 0.0011775980631510417
1723053322021810000; 4.5497783203125; 0.001190971883138021
1723053322021820000; 4.54476806640625; 0.0012050272623697917
1723053322021830000; 4.53979404296875; 0.0012175038655598959
1723053322021840000; 4.53482177734375; 0.0012304494222005209
1723053322021850000; 4.52980498046875; 0.0012448720296223958
1723053322021860000; 4.524798828125; 0.0012578165690104168
1723053322021870000; 4.51980712890625; 0.0012709075927734375
1723053322021880000; 4.514825390625; 0.0012833841959635417
1723053322021890000; 4.50980693359375; 0.0012966725667317707
1723053322021900000; 4.50478095703125; 0.0013097147623697917
1723053322021910000; 4.4997706054687505; 0.0013217803955078125
1723053322021920000; 4.4947560546875005; 0.0013344207763671876
1723053322021930000; 4.4897669921875005; 0.0013466084798177084
1723053322021940000; 4.48476796875; 0.0013590698242187502
1723053322021950000; 4.4797548828125; 0.0013710296630859375
1723053322021960000; 4.474766796875; 0.0013828521728515624
1723053322021970000; 4.46976875; 0.0013947662353515624
1723053322021980000; 4.464784765625001; 0.0014063303629557292
1723053322021990000; 4.45978359375; 0.0014180328369140626
1723053322022000000; 4.4548069335937495; 0.0014293741861979166
1723053322022010000; 4.44981640625; 0.0014412190755208334
1723053322022020000; 4.4447990234375; 0.0014527628580729168
1723053322022030000; 4.4398121093750005; 0.0014638956705729166
1723053322022040000; 4.43480302734375; 0.001475316365559896
1723053322022050000; 4.429776953125001; 0.0014864664713541667
1723053322022060000; 4.42476884765625; 0.0014975056966145834
1723053322022070000; 4.419743359375; 0.0015084920247395834
1723053322022080000; 4.414759375; 0.001519146728515625
1723053322022090000; 4.40974267578125; 0.001529923502604167
1723053322022100000; 4.40474423828125; 0.0015404388427734375
1723053322022110000; 4.399751171875; 0.0015508148193359376
1723053322022120000; 4.39473466796875; 0.0015614654541015627
1723053322022130000; 4.3897419921875; 0.0015715545654296876
1723053322022140000; 4.384733007812501; 0.001582135009765625
1723053322022150000; 4.37978740234375; 0.0015914143880208333
1723053322022160000; 4.3747833007812496; 0.001602385457356771
1723053322022170000; 4.369765332031251; 0.001612486775716146
1723053322022180000; 4.36478564453125; 0.0016218587239583335
1723053322022190000; 4.3597748046875004; 0.0016320343017578126
1723053322022200000; 4.3547552734375; 0.0016418670654296877
1723053322022210000; 4.3497328125; 0.001651579793294271
1723053322022220000; 4.3446973632812504; 0.0016612742106119794
1723053322022230000; 4.33971181640625; 0.0016702199300130212
1723053322022240000; 4.3346984375; 0.0016799296061197919
1723053322022250000; 4.32969140625; 0.0016892262776692709
1723053322022260000; 4.3247171875; 0.0016983439127604169
1723053322022270000; 4.319697265625; 0.001707787068684896
1723053322022280000; 4.31470966796875; 0.0017164947509765627
1723053322022290000; 4.309697265625; 0.0017259521484375001
1723053322022300000; 4.30469765625; 0.0017346201578776043
1723053322022310000; 4.299756250000001; 0.0017430328369140626
1723053322022320000; 4.29473828125; 0.0017523234049479166
1723053322022330000; 4.289742578125; 0.0017607004801432295
1723053322022340000; 4.284724511718751; 0.0017694885253906252
1723053322022350000; 4.279711328125; 0.0017779713948567711
1723053322022360000; 4.274726171875; 0.0017863433837890627
1723053322022370000; 4.2696796875; 0.0017949615478515626
1723053322022380000; 4.2646500000000005; 0.0018031890869140627
1723053322022390000; 4.25964931640625; 0.0018113739013671875
1723053322022400000; 4.25466298828125; 0.0018194742838541667
1723053322022410000; 4.2496966796875; 0.0018275604248046875
1723053322022420000; 4.24466328125; 0.0018357818603515627
1723053322022430000; 4.23964482421875; 0.0018437754313151043
1723053322022440000; 4.23463984375; 0.0018516398111979168
1723053322022450000; 4.2296486328125; 0.0018596445719401041
1723053322022460000; 4.22468447265625; 0.0018671498616536458
1723053322022470000; 4.2197142578125; 0.0018748168945312501
1723053322022480000; 4.2146946289062495; 0.0018825632731119793
1723053322022490000; 4.20969111328125; 0.001890135701497396
1723053322022500000; 4.204673828125; 0.0018976643880208336
1723053322022510000; 4.1996990234375; 0.0019048543294270834
1723053322022520000; 4.194677734375; 0.001912248738606771
1723053322022530000; 4.1896214843749995; 0.001919633992513021
1723053322022540000; 4.1846482421874995; 0.001926605224609375
1723053322022550000; 4.179641015625; 0.0019339518229166668
1723053322022560000; 4.1746509765625; 0.001940880330403646
1723053322022570000; 4.1696490234375; 0.0019480255126953126
1723053322022580000; 4.16462646484375; 0.0019552632649739586
1723053322022590000; 4.15964296875; 0.0019622375488281252
1723053322022600000; 4.154644531250001; 0.0019693196614583336
1723053322022610000; 4.14966484375; 0.001976072184244792
1723053322022620000; 4.14470615234375; 0.001982585652669271
1723053322022630000; 4.1396824218749995; 0.0019894378662109378
1723053322022640000; 4.1346701171875; 0.001996097819010417
1723053322022650000; 4.12968203125; 0.0020025319417317712
1723053322022660000; 4.1246912109375; 0.0020087931315104167
1723053322022670000; 4.1196756835937505; 0.002015269978841146
1723053322022680000; 4.11463447265625; 0.002021836344401042
1723053322022690000; 4.10962705078125; 0.0020281026204427084
1723053322022700000; 4.10463818359375; 0.002034367879231771
1723053322022710000; 4.0996587890625; 0.0020406402587890625
1723053322022720000; 4.09465810546875; 0.002046783447265625
1723053322022730000; 4.0896416015625; 0.00205299072265625
1723053322022740000; 4.0846396484375; 0.0020593180338541665
1723053322022750000; 4.07965087890625; 0.00206534423828125
1723053322022760000; 4.07467412109375; 0.0020714314778645833
1723053322022770000; 4.06968193359375; 0.0020772898356119793
1723053322022780000; 4.064702441406251; 0.0020830525716145835
1723053322022790000; 4.0596953125; 0.002088990275065104
1723053322022800000; 4.054700390625; 0.0020946756998697917
1723053322022810000; 4.04970830078125; 0.0021002593994140627
1723053322022820000; 4.0446837890625; 0.0021058664957682295
1723053322022830000; 4.0396533203125; 0.002111553955078125
1723053322022840000; 4.0346199218750005; 0.0021171427408854166
1723053322022850000; 4.0296162109375; 0.002122678629557292
1723053322022860000; 4.024639453125; 0.0021281382242838544
1723053322022870000; 4.01963505859375; 0.0021336507161458336
1723053322022880000; 4.01460732421875; 0.002139204915364583
1723053322022890000; 4.0096076171875; 0.0021445587158203127
1723053322022900000; 4.00462548828125; 0.0021499267578125
1723053322022910000; 3.9996310546875002; 0.002155303955078125
1723053322022920000; 3.99462265625; 0.0021606831868489582
1723053322022930000; 3.98967548828125; 0.0021654673258463546
1723053322022940000; 3.9846682617187503; 0.0021707865397135417
1723053322022950000; 3.97965634765625; 0.0021757507324218755
1723053322022960000; 3.9746861328125; 0.0021806355794270833
1723053322022970000; 3.96967373046875; 0.0021855967203776045
1723053322022980000; 3.96463330078125; 0.002190442911783854
1723053322022990000; 3.9596291015625003; 0.0021953165690104166
1723053322023000000; 3.9546006835937497; 0.0022002888997395835
1723053322023010000; 3.94964609375; 0.00220501708984375
1723053322023020000; 3.94461123046875; 0.00221002197265625
1723053322023030000; 3.9395804687500005; 0.0022149007161458333
1723053322023040000; 3.9346056640625; 0.002219694010416667
1723053322023050000; 3.9296059570312503; 0.002224382527669271
1723053322023060000; 3.9246439453125004; 0.0022291035970052084
1723053322023070000; 3.9196035156250004; 0.0022336924235026043
1723053322023080000; 3.9145931640625005; 0.002238233439127604
1723053322023090000; 3.9096573242187502; 0.00224271240234375
1723053322023100000; 3.9046740234375; 0.002247075398763021
1723053322023110000; 3.8996748046875003; 0.0022514099121093752
1723053322023120000; 3.89463955078125; 0.0022558125813802086
1723053322023130000; 3.889622265625; 0.002259998575846354
1723053322023140000; 3.8846099609375; 0.0022642822265625
1723053322023150000; 3.8795875; 0.0022685872395833335
1723053322023160000; 3.8746034179687503; 0.002272795613606771
1723053322023170000; 3.86960341796875; 0.0022772054036458334
1723053322023180000; 3.8645827148437504; 0.00228150634765625
1723053322023190000; 3.85959912109375; 0.002285687255859375
1723053322023200000; 3.85460732421875; 0.002289951578776042
1723053322023210000; 3.8496311523437496; 0.002294010416666667
1723053322023220000; 3.84460400390625; 0.0022982106526692712
1723053322023230000; 3.83958544921875; 0.002302231852213542
1723053322023240000; 3.8346218750000003; 0.0023062266031901044
1723053322023250000; 3.82969189453125; 0.0023099985758463543
1723053322023260000; 3.8247154296874997; 0.0023138153076171877
1723053322023270000; 3.8196755859375005; 0.0023176472981770837
1723053322023280000; 3.81462861328125; 0.0023214111328125
1723053322023290000; 3.8096297851562504; 0.0023251780192057292
1723053322023300000; 3.8046195312499997; 0.002328842163085938
1723053322023310000; 3.7996179687500002; 0.0023324981689453127
1723053322023320000; 3.7946225585937503; 0.0023363810221354166
1723053322023330000; 3.7895908203125; 0.0023401580810546874
1723053322023340000; 3.7845787109374998; 0.0023439036051432294
1723053322023350000; 3.77959716796875; 0.0023476531982421877
1723053322023360000; 3.774630078125; 0.0023513203938802085
1723053322023370000; 3.7696251953125; 0.0023548492431640627
1723053322023380000; 3.7645923828125003; 0.002358495076497396
1723053322023390000; 3.7595771484375002; 0.002362035115559896
1723053322023400000; 3.754650390625; 0.0023654449462890627
1723053322023410000; 3.7496480468750004; 0.0023688242594401042
1723053322023420000; 3.744626953125; 0.002372112019856771
1723053322023430000; 3.7396109375; 0.0023754435221354166
1723053322023440000; 3.73461181640625; 0.0023786600748697917
1723053322023450000; 3.72962109375; 0.002381949869791667
1723053322023460000; 3.7245737304687503; 0.00238531494140625
1723053322023470000; 3.7195676757812497; 0.002388677978515625
1723053322023480000; 3.7145740234375; 0.002392020670572917
1723053322023490000; 3.7095821289062503; 0.002395280965169271
1723053322023500000; 3.7045822265625; 0.002398468017578125
1723053322023510000; 3.6995689453125; 0.0024017100016276043
1723053322023520000; 3.6945763671875; 0.0024048787434895833
1723053322023530000; 3.689571484375; 0.002408148193359375
1723053322023540000; 3.68457822265625; 0.0024113566080729166
1723053322023550000; 3.6795810546875005; 0.0024144256591796874
1723053322023560000; 3.674634375; 0.00241719970703125
1723053322023570000; 3.669641796875; 0.002420191446940104
1723053322023580000; 3.6646201171875004; 0.0024231109619140627
1723053322023590000; 3.6596099609375; 0.0024260152180989587
1723053322023600000; 3.65459169921875; 0.002428826904296875
1723053322023610000; 3.64958544921875; 0.0024317484537760416
1723053322023620000; 3.6445564453125003; 0.0024346445719401043
1723053322023630000; 3.6395451171874997; 0.002437657674153646
1723053322023640000; 3.63458056640625; 0.0024406138102213543
1723053322023650000; 3.62958955078125; 0.0024435028076171877
1723053322023660000; 3.62457939453125; 0.0024464762369791667
1723053322023670000; 3.619568359375; 0.002449198404947917
1723053322023680000; 3.6145716796875003; 0.0024520416259765625
1723053322023690000; 3.609571484375; 0.0024548126220703126
1723053322023700000; 3.6045585937499998; 0.0024575520833333333
1723053322023710000; 3.59965146484375; 0.002460111490885417
1723053322023720000; 3.5946263671875; 0.002462804158528646
1723053322023730000; 3.58958720703125; 0.0024653757731119795
1723053322023740000; 3.58460673828125; 0.0024678609212239588
1723053322023750000; 3.5795859375000005; 0.002470310465494792
1723053322023760000; 3.57458359375; 0.0024727844238281254
1723053322023770000; 3.569566015625; 0.0024753916422526044
1723053322023780000; 3.564523046875; 0.0024781260172526045
1723053322023790000; 3.559558203125; 0.0024806833902994794
1723053322023800000; 3.55455869140625; 0.0024831807454427086
1723053322023810000; 3.54954521484375; 0.0024857442220052083
1723053322023820000; 3.544549609375; 0.0024883433024088545
1723053322023830000; 3.5395294921875; 0.002490931193033854
1723053322023840000; 3.5345596679687503; 0.002493240356445313
1723053322023850000; 3.5295541015625003; 0.002495652262369792
1723053322023860000; 3.5245396484375; 0.002497966512044271
1723053322023870000; 3.5196193359375; 0.0025003265380859375
1723053322023880000; 3.51461171875; 0.0025028025309244794
1723053322023890000; 3.50959775390625; 0.0025048299153645837
1723053322023900000; 3.50458251953125; 0.0025070576985677085
1723053322023910000; 3.49956845703125; 0.002509239705403646
1723053322023920000; 3.49458935546875; 0.0025114054361979167
1723053322023930000; 3.4895504882812505; 0.002513944498697917
1723053322023940000; 3.48454228515625; 0.002516151936848959
1723053322023950000; 3.4795601562500003; 0.002518545532226563
1723053322023960000; 3.4745642578125002; 0.002520639038085938
1723053322023970000; 3.4695706054687503; 0.0025228719075520833
1723053322023980000; 3.464555078125; 0.002525092569986979
1723053322023990000; 3.4595841796875; 0.002527311197916667
1723053322024000000; 3.45457216796875; 0.0025294809977213545
1723053322024010000; 3.4495537109375; 0.0025315948486328128
1723053322024020000; 3.444573828125; 0.002533465576171875
1723053322024030000; 3.43962568359375; 0.0025355560302734374
1723053322024040000; 3.434632421875; 0.002537613932291667
1723053322024050000; 3.42961123046875; 0.002539531453450521
1723053322024060000; 3.42456669921875; 0.00254144287109375
1723053322024070000; 3.4195416015625; 0.0025433817545572916
1723053322024080000; 3.41451474609375; 0.0025454243977864584
1723053322024090000; 3.40949443359375; 0.002547540283203125
1723053322024100000; 3.4045096679687497; 0.002549593098958334
1723053322024110000; 3.3994773437499997; 0.002551560465494792
1723053322024120000; 3.3944685546875; 0.002553522745768229
1723053322024130000; 3.389462890625; 0.0025554473876953127
1723053322024140000; 3.38446865234375; 0.0025573984781901045
1723053322024150000; 3.37950283203125; 0.002559274291992188
1723053322024160000; 3.3744773437499997; 0.002561076863606771
1723053322024170000; 3.36946806640625; 0.00256298828125
1723053322024180000; 3.36454365234375; 0.0025646942138671876
1723053322024190000; 3.3595396484375; 0.0025664276123046875
1723053322024200000; 3.3545203125; 0.0025681955973307293
1723053322024210000; 3.3495076171875002; 0.0025699615478515627
1723053322024220000; 3.3444858398437503; 0.0025718058268229165
1723053322024230000; 3.3394654296875; 0.002573444620768229
1723053322024240000; 3.33445341796875; 0.0025752034505208336
1723053322024250000; 3.3294458984375; 0.002577012125651042
1723053322024260000; 3.3244630859375004; 0.002578748575846354
1723053322024270000; 3.31945556640625; 0.0025805185953776044
1723053322024280000; 3.314433984375; 0.002582297770182292
1723053322024290000; 3.3094439453125; 0.00258389892578125
1723053322024300000; 3.3044294921875004; 0.002585696411132813
1723053322024310000; 3.2994548828125; 0.002587218221028646
1723053322024320000; 3.29445732421875; 0.002588872273763021
1723053322024330000; 3.2894376953125; 0.002590440877278646
1723053322024340000; 3.2845205078125; 0.002591988118489584
1723053322024350000; 3.2795002929687502; 0.002593558756510417
1723053322024360000; 3.274475390625; 0.0025951446533203125
1723053322024370000; 3.2694458984375; 0.002596687825520834
1723053322024380000; 3.264434765625; 0.002598374430338542
1723053322024390000; 3.25940068359375; 0.0025998921712239585
1723053322024400000; 3.2543943359374996; 0.0026013529459635422
1723053322024410000; 3.2493911132812503; 0.00260289306640625
1723053322024420000; 3.2444113281250004; 0.002604508463541667
1723053322024430000; 3.2394276367187502; 0.0026061838785807296
1723053322024440000; 3.23438466796875; 0.0026076548258463545
1723053322024450000; 3.22939619140625; 0.002609188842773438
1723053322024460000; 3.2244123046875; 0.0026103922526041668
1723053322024470000; 3.21941171875; 0.0026118733723958336
1723053322024480000; 3.2144028320312503; 0.0026133382161458336
1723053322024490000; 3.2093874023437503; 0.002614765421549479
1723053322024500000; 3.2044669921874998; 0.002616179402669271
1723053322024510000; 3.1994716796875; 0.0026174540201822916
1723053322024520000; 3.194462890625; 0.0026188191731770834
1723053322024530000; 3.18943388671875; 0.0026202799479166667
1723053322024540000; 3.1844119140625002; 0.002621731567382813
1723053322024550000; 3.17940908203125; 0.002622901407877604
1723053322024560000; 3.1743955078125; 0.0026242624918619796
1723053322024570000; 3.16944384765625; 0.002625712076822917
1723053322024580000; 3.1644182617187497; 0.0026271525065104167
1723053322024590000; 3.15938544921875; 0.002628416951497396
1723053322024600000; 3.1543939453125; 0.002629741414388021
1723053322024610000; 3.14940234375; 0.002630901082356771
1723053322024620000; 3.1444177734375; 0.0026321573893229168
1723053322024630000; 3.13939208984375; 0.002633489990234375
1723053322024640000; 3.13436708984375; 0.0026347117106119795
1723053322024650000; 3.12946162109375; 0.00263587646484375
1723053322024660000; 3.12445712890625; 0.0026372701009114586
1723053322024670000; 3.11941103515625; 0.0026385599772135422
1723053322024680000; 3.11438291015625; 0.002639693196614584
1723053322024690000; 3.1093350585937505; 0.002640891520182292
1723053322024700000; 3.10434150390625; 0.0026419809977213543
1723053322024710000; 3.0993279296875; 0.002643244425455729
1723053322024720000; 3.09430751953125; 0.0026444895426432293
1723053322024730000; 3.0893392578125; 0.0026456359863281254
1723053322024740000; 3.08429482421875; 0.0026469807942708333
1723053322024750000; 3.0793021484375; 0.0026480662027994796
1723053322024760000; 3.074301953125; 0.002649095662434896
1723053322024770000; 3.0692900390625; 0.002650187174479167
1723053322024780000; 3.0642935546875005; 0.0026512766520182295
1723053322024790000; 3.05925341796875; 0.002652447509765625
1723053322024800000; 3.05428046875; 0.0026535634358723957
1723053322024810000; 3.04935546875; 0.002654572550455729
1723053322024820000; 3.0443599609375003; 0.0026557535807291664
1723053322024830000; 3.03933359375; 0.0026568593343098963
1723053322024840000; 3.03427294921875; 0.0026577768961588543
1723053322024850000; 3.02927109375; 0.00265887451171875
1723053322024860000; 3.02427529296875; 0.0026599324544270835
1723053322024870000; 3.01927333984375; 0.002660997517903646
1723053322024880000; 3.01425810546875; 0.002662138875325521
1723053322024890000; 3.0092629882812503; 0.0026631601969401043
1723053322024900000; 3.0042739257812503; 0.0026640706380208334
1723053322024910000; 2.9992868164062503; 0.002665079752604167
1723053322024920000; 2.994294140625; 0.0026660776774088545
1723053322024930000; 2.9892896484375; 0.002666965738932292
1723053322024940000; 2.98424853515625; 0.0026679463704427087
1723053322024950000; 2.9792416015625003; 0.0026689025878906254
1723053322024960000; 2.9743537109375002; 0.0026699361165364584
1723053322024970000; 2.96935283203125; 0.002670952351888021
1723053322024980000; 2.9643028320312497; 0.002671986897786459
1723053322024990000; 2.95927314453125; 0.0026729329427083335
1723053322025000000; 2.95425244140625; 0.0026737681070963543
1723053322025010000; 2.94926337890625; 0.0026748260498046877
1723053322025020000; 2.9442572265625; 0.0026757588704427087
1723053322025030000; 2.93923408203125; 0.0026766642252604167
1723053322025040000; 2.9342463867187503; 0.002677587890625
